Parental Level,Game Title,File Offset,PlayStation PRO Support,Current Version,Instant Download,Package Size,PlayStation VR,Piece,SHA1 Hash,Title ID,Play Together
5,Injustice: Gods Among Us Ultimate Edition,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00079_00/3/f_36c156e040f29d930d622bee6d018c5b43b743dc1934b81db4987d1624dfa5ad/f/UP1018-CUSA00079_00-INJUSTICEULTIMAT-A0102-V0100.pkg,82.1MB,No,0,ce9178fdbafaaf98acc5f75f65807153be47697c,CUSA00079_00,
4,Pinball Arcade,0,No,1.23,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00081_00/39/f_16000258f79aaf2b082777e7b395a06c8fcf92a5532d49c983932de836ed1d3d/f/UP2058-CUSA00081_00-HDDBOOTPBA000001-A0123-V0100.pkg,3.2GB,No,0,e7e169cb7019727996718a2e33adb389d53b2e30,CUSA00081_00,
4,LEGO MARVEL Super Heroes,0,No,1.03,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00083_00/3/f_c6d44ae914d4a88b70ed9e1948f4d46a109691d74dcca2bec9c723eed9ffecc9/f/UP1018-CUSA00083_00-LEGOMARVEL000000-A0103-V0100.pkg,36.1MB,No,0,7c218632470067097ccc92389229dae3b6f0a68f,CUSA00083_00,
4,The LEGO Movie - Videogame,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00084_00/2/f_39fc2ec42bdccbe7d9b34adc797da81f5888082faaed711239f2ea35fb454ca9/f/UP1018-CUSA00084_00-LEGOMOVIE0000000-A0101-V0101.pkg,187.9MB,No,0,e7c5aa6b29370ff269e918dcb3655656145710b1,CUSA00084_00,
8,KILLZONE SHADOW FALL,0,No,1.81,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00085_00/50/f_5003513d0209cb497652b9eb9709ae7743326c7a90fa4cc44087ff65e42d6356/f/JP9000-CUSA00085_00-KZ4RELEASE000041-A0181-V0100.pkg,2.4GB,No,0,2a01e83b0c4575ef5af10460b854b7284dac7181,CUSA00085_00,
7,Strider,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00087_00/1/f_9a21354b69dbf61f3ab0814ad343e7ed641fa5d64dadfa8a5af5ac835d416dd3/f/EP0102-CUSA00087_00-STREUHG4TRIAL001-A0101-V0100.pkg,27.1MB,No,0,88f4c425262ffa831db1804a27001c80893ef4ca,CUSA00087_00,
2,Madden NFL 25,0,No,1.04,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00088_00/4/f_d0488fb1eb37b6a22d74679aa146b8fa99c61a21667a4cccc7c71e54e1453901/f/EP0006-CUSA00088_00-MADDENNFL25GAME1-A0104-V0101.pkg,123.1MB,No,0,b7cf253c00f53b446432f76f26de6743ee6692b1,CUSA00088_00,
3,Sound Shapes,0,No,1.14,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00090_00/8/f_f7d8a9d417d71cdcbe087dd887fdc23e91f93e4e9bff93fee1b5892485bfc477/f/UP9000-CUSA00090_00-SOUNDSHAPES00000-A0114-V0100.pkg,34.8MB,No,0,8f1d39ff169337fa3f0eec1c1abd482765f17abf,CUSA00090_00,
4,Hohokum,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00091_00/2/f_2a6a7a00874008ae1382ad37db63759dc445da87055708a958945ca07baa1f5c/f/UP9000-CUSA00091_00-HOHOKUMGAMEPKG01-A0102-V0100.pkg,38.2MB,No,0,d23bad707728ad1c334b4a22fa486f0a6e574742,CUSA00091_00,
1,Crunchyroll,0,No,1.29,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00095_00/13/f_b1718437531ea29fb60b739f0e7f52f183b18f53363a1c647feac66b5593b324/f/UP2074-CUSA00095_00-201310082029XXXX-A0129-V0100.pkg,76.4MB,No,0,e0b9f8ea208eb7c555a2b1e4afbd701ecbfbee0e,CUSA00095_00,
1,VUDU Movies & TV,0,No,1.03,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00096_00/10/f_52ba4914c2bb7836a7dfcd4674275d708dd3900a24740271ea1d6a5115f45f08/f/UT0015-CUSA00096_00-VUDU000000000000-A0103-V0100.pkg,20MB,No,0,fa4f8a470029600839a008b2bbd4d10126107996,CUSA00096_00,
1,EPIX,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00098_00/1/f_b84a6001f7401e1c272826ef1ece0200a08dc0bbdfa057083a1874c6fd2a2548/f/UT9003-CUSA00098_00-EPIXHD0000001003-A0101-V0100.pkg,4MB,No,0,7ab455516d7294bc4f26c3ccbf1e98470e58ce6f,CUSA00098_00,
9,The Order: 1886,0,No,1.02,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00100_00/7/f_7dee119afdba781c13adcf0b239fcf6e9bff436b56a10cabdf6961eb4494157e/f/HP9000-CUSA00100_00-TO1886GAME000000-A0102-V0100.pkg,517.6MB,No,0,7025932a0285822ed75de878c1a34dbce8091dbe,CUSA00100_00,
4,SingStar,0,No,1.1,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00101_00/16/f_77c6eb247109493c6282710d1020bbfa5077d6928b0e51aa6551f97093c4ffd8/f/UP9000-CUSA00101_00-SINGSTARE3XX2013-A0110-V0100.pkg,130.2MB,No,0,e4fb1a1f539bd96dd14b463206da95aca556adaf,CUSA00101_00,
9,Mad Max,0,No,1.04,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00103_00/4/f_a90fdddaca54f73a9a20e513a3836513a40e70e6d1d2437a832ce9ea90ee0244/f/UP1018-CUSA00103_00-MADMAXTHEGAME001-A0104-V0100.pkg,406.4MB,No,0,d12d03b00361c87ec54eae9709a89f7d41573e6b,CUSA00103_00,
2,NBA 2K14,0,No,1.05,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00104_00/21/f_be4509a7ea49af4582c1fabc54f4a48a628ac858ef52fbcca281a89d25c64973/f/EP1001-CUSA00104_00-NBA2K14000000000-A0105-V0100.pkg,2.3GB,No,0,183e6769d291d7dbed8d71e2b0ff4cfb09522f42,CUSA00104_00,
5,Pinball Arcade,0,No,1.24,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00105_00/38/f_1048af28ff98ce5610006369be6b02129af382ebb54838e2f98666fbf18c9149/f/EP2058-CUSA00105_00-HDDBOOTPBA000001-A0124-V0100.pkg,3.2GB,No,0,9607414b662e8b5b31d5f9236ab785fd3d8bfc5b,CUSA00105_00,
9,Tomb Raider: Definitive Edition,0,No,1.01,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00107_00/4/f_a7d2b9f7f680dc2c4da2d4f648f5ef00f43057f83d7ba336a95be911d27c1285/f/UP0082-CUSA00107_00-000000TOMBRAIDER-A0101-V0101.pkg,30.4MB,No,0,f927168736c0fd5fe2628c8284959478a64afc01,CUSA00107_00,
5,The Tomorrow Children,0,No,1.32,http://gs2.ww.prod.dl.playstation.net/gs2/ppkgo/prod/CUSA00108_00/22/f_b3d98a9e2e567fb4c9a40075b1cba9e366feb5c57125916672fd57d1d3ae6e2b/f/JP9000-CUSA00108_00-TTC0000000000000-A0132-V0101.pkg,3.2GB,No,0,ea02727d8411bcc18efbc6cce771d3b8ec388b8f,CUSA00108_00,
